timestamp,temp_C,humidity_%,pressure_hPa,gas_resistance_kOhm,mq135_raw,mq135_voltage,mq135_ratio,mq3_raw,mq3_voltage,mq3_ratio,contamination_level_%,label
721939,31.42,72.31,1007.50,25.44,2379.24,1.917,0.7211,1645.82,1.326,1.4881,100,best
727808,31.42,72.30,1007.50,25.53,2390.10,1.926,0.7133,1645.48,1.326,1.4886,100,best
733677,31.43,72.30,1007.51,25.53,2369.90,1.910,0.7279,1655.32,1.334,1.4738,100,best
739546,31.44,72.27,1007.50,25.57,2373.08,1.912,0.7256,1651.22,1.331,1.4800,100,best
745415,31.45,72.26,1007.50,25.44,2381.34,1.919,0.7196,1652.58,1.332,1.4779,100,best
751284,31.45,72.24,1007.52,25.53,2375.86,1.915,0.7236,1651.58,1.331,1.4794,100,best
757153,31.46,72.23,1007.52,25.45,2371.30,1.911,0.7269,1652.10,1.331,1.4787,100,best
763022,31.47,72.21,1007.52,25.53,2369.96,1.910,0.7279,1650.02,1.330,1.4818,100,best
768891,31.48,72.21,1007.51,25.64,2360.94,1.903,0.7345,1646.54,1.327,1.4870,100,best
774760,31.49,72.18,1007.53,25.54,2356.06,1.899,0.7381,1647.40,1.328,1.4857,100,best
780629,31.49,72.19,1007.53,25.65,2351.00,1.895,0.7418,1650.18,1.330,1.4815,100,best
786498,31.50,72.16,1007.52,25.53,2351.20,1.895,0.7417,1649.50,1.329,1.4826,100,best
792367,31.51,72.15,1007.53,25.59,2375.32,1.914,0.7240,1650.30,1.330,1.4814,100,best
798236,31.51,72.12,1007.54,25.57,2335.72,1.882,0.7532,1649.08,1.329,1.4832,100,best
804105,31.52,72.12,1007.55,25.51,2340.62,1.886,0.7495,1649.86,1.330,1.4820,100,best
809974,31.53,72.12,1007.55,25.60,2332.00,1.879,0.7560,1650.50,1.330,1.4811,100,best
815843,31.53,72.10,1007.56,25.67,2330.08,1.878,0.7575,1647.48,1.328,1.4856,100,best
821712,31.54,72.10,1007.56,25.62,2337.00,1.883,0.7522,1646.70,1.327,1.4868,100,best
827581,31.55,72.08,1007.56,25.57,2345.82,1.890,0.7457,1648.38,1.328,1.4843,100,best
833450,31.55,72.06,1007.56,25.64,2308.74,1.861,0.7737,1648.54,1.328,1.4840,100,best
839319,31.56,72.05,1007.56,25.60,2317.72,1.868,0.7668,1649.78,1.329,1.4821,100,best
845188,31.57,72.05,1007.57,25.54,2320.62,1.870,0.7646,1648.82,1.329,1.4836,100,best
851057,31.57,72.04,1007.57,25.60,2326.02,1.874,0.7605,1649.36,1.329,1.4828,100,best
856926,31.58,72.03,1007.57,25.64,2322.02,1.871,0.7636,1655.34,1.334,1.4738,100,best
862795,31.58,72.01,1007.57,25.62,2319.48,1.869,0.7655,1659.40,1.337,1.4678,100,best
868664,31.59,72.00,1007.58,25.76,2318.12,1.868,0.7665,1654.78,1.334,1.4746,100,best
874533,31.60,72.00,1007.59,25.60,2303.86,1.857,0.7775,1641.38,1.323,1.4949,100,best
880402,31.60,71.98,1007.59,25.76,2299.90,1.853,0.7805,1643.30,1.324,1.4919,100,best
886271,31.61,71.97,1007.59,25.65,2300.50,1.854,0.7800,1642.56,1.324,1.4931,100,best
892140,31.61,71.96,1007.60,25.68,2316.08,1.866,0.7681,1638.58,1.320,1.4991,100,best
898009,31.62,71.95,1007.60,25.77,2291.92,1.847,0.7867,1646.42,1.327,1.4872,100,best
903878,31.63,71.94,1007.60,25.79,2294.72,1.849,0.7845,1647.38,1.328,1.4858,100,best
909747,31.63,71.93,1007.61,25.71,2291.54,1.847,0.7870,1646.22,1.327,1.4875,100,best
915616,31.64,71.92,1007.61,25.71,2287.56,1.843,0.7901,1651.44,1.331,1.4797,100,best
921485,31.65,71.90,1007.62,25.73,2307.84,1.860,0.7744,1647.86,1.328,1.4850,100,best
927354,31.65,71.90,1007.62,25.67,2308.68,1.860,0.7737,1649.88,1.330,1.4820,100,best
